Date,User,Tweet
2022-11-12 13:03:00+00:00,dware1,"Notre Dame head football coach @Marcus_Freeman1 joins me @boxtorow to talk victory over Clemson, being second Black head coach at ND. One of these radio stations https://t.co/U6T0TMhS9M and at 11a ET/10a CT/8a on @SIRIUSXM Channel 141 @HUR_VOICES https://t.co/MfCyLD6pO8"
2022-11-06 14:07:10+00:00,beyontay,"@Shakez_SC I don’t know how black people can be Notre Dame, Alabama, or Clemson fans"
2022-11-06 12:20:03+00:00,JohnDeereTract9,"Dude needs to keep MLK’s name out of his mouth. 

Why would any Black parent send their child to Clemson? 

Go Notre Dame! https://t.co/9eDvqMRNdQ"
2022-11-06 02:28:41+00:00,TheSportKingDom,Did anyone else hear that?! The last commercial break for the Notre Dame vs. Clemson game faded to black with a Hot Chip beat!
2022-11-06 02:10:27+00:00,irv_anthony,Seeing Notre Dame and their black coach Marcus Freeman beat the shit out of Clemson and Dabo is so beautiful 😇🤞🏾
2022-09-23 19:57:11+00:00,Alan__Cole,"Mark Kingston was asked yesterday who he had in mind for the new lead-off hitter this year. 

For today at least, it's Will Tippett for the black team and Clemson transfer Dylan Brewer for the garnet team. 

Starting pitchers are Brett Thomas and Notre Dame transfer Roman Kimball"
2022-09-10 20:13:29+00:00,JimCrooks7,I hate the Texas didn't win that game. That safety would have made a big difference. Now watching Marshall and Notre Dame halftime while listening to Clemson.  Nothing better than seeing a large black man in a green kilt.
2022-08-28 12:26:31+00:00,Big_Fax3x,"@TheTopRow Lol it’s notre dame . You can’t recruit black kids from the south to south bend . He’s at LSU . Les miles and Orgeron won’t titles lol BK 10x better than both them combined. Clemson is sorry, y’all just play in the worst p5 conference in the country"
2022-08-20 01:27:24+00:00,Doctor_alesmith,@HorsemenPod @tempo_nick @NorwegianGopher @GilmoreCharles Look I don’t think the big ten is going to black ball and not play notre dame.  I just don’t think that any team in the big ten is going to agree to play notre dame every year. I don’t think Clemson would play South Carolina every year if the sec and acc go to ten games
2022-08-07 15:50:38+00:00,HistoryAthletic,"1984 ""Black Magic"" The Clemson win at Clemson was great but the win at Notre Dame was special. Only missed the Navy game and yes, I got blamed.  https://t.co/GumGuNJ5ND"
2022-05-01 16:48:37+00:00,CFBHome,"1️⃣9️⃣8️⃣4️⃣ South Carolina Black Magic 🖤

- Reached #2 in the AP Poll (highest AP Ranking Ever)
- First Ever 10+ Win Season
- 9 Consecutive Wins
- Key Wins over Notre Dame, Georgia, FSU, Pitt, Clemson https://t.co/dKaCsyFcCR"
2022-04-01 19:01:30+00:00,TPortalCFB,"LEAKED: Clemson will wear new black alternate uniforms when they play Notre Dame in South Bend on November 4 🔥👀

What do y'all think? https://t.co/gubBf1T3UM"
2022-01-04 17:12:28+00:00,Marshalllaw1906,@DapperDomo I think it's a lot easier to explain than that. Top D1 football programs are white. Really really white. Notre Dame student body population is 4% black. Clemson is 6%. OSU 8%. Georgia 8%. USC 5%. You date who you're around. Average black man isn't usually in such white spaces.
2021-12-23 02:17:40+00:00,ErnieRealEstate,"@Zsanchez33 I don't see Alabama, Ohio St, Clemson, Notre Dame, etc... needing Black alternative uniforms to recruit.  The teams with multiple uniforms don't win championships either."
2021-12-18 18:29:59+00:00,DanKnuckles,"@UNCfansince1998 @TakingALLBetts @CoachTayler @mkmomin23 @DeionSanders @Jeezy @CelebrationBowl And Harvard has an endowment to aspire to. Columbia ditto.

Alabama, LSU, Clemson, and Notre Dame are chump change compared to real academic giants, or what HBCUs can do. Times are changing, and the infrastructure for another Black Wall Street is already there. Just you watch."
2021-12-04 22:01:29+00:00,BanFallWeddings,"@bweiny @PlayoffKap It depends on the schedule. It’s not black and white. Next year Notre Dame plays Clemson in November. We’ll know who they are in November. 

This year tho, I hear you. It’s a weak November. 

Could be worse tho, they could’ve joined the ACC."
2021-08-18 02:58:57+00:00,ClgTide1,"@BermudaAussie @RobOviatt1 @coach_cristobal Notre Dame graduated 91% of its football players, Alabama 88% and Clemson 83%. Ohio State graduated just 69% of its football players. Among Black football players, Alabama graduated 84%, Notre Dame 82% and Clemson 77%.Dec 22, 2020"
2021-07-15 02:44:20+00:00,Tailoredfitatl,"@FootballScoop @JohnDBrice1 The other guy in that photo should be the highest paid but because he’s Black he’s not even in the top 10. 
This is racism. 

Clemson’s defense costed the the Notre Dame game and the national championship in 2019 yet Venebles gets a raise. 
This is White privilege."
2021-07-09 14:02:22+00:00,christian785,@WayneHaddock4 @RealDanielVoss @SpencerRattler @OU_Football Clemson has purple alts Bama has grey…. Let’s look at other blue bloods…. Michigan has yellow and blue multiple combo alts.  Notre Dame has their green ones.  Nebraska and Texas both have black alts.  It’s not 1960 anymore and the players love them
2021-05-22 14:27:32+00:00,mrjohnnyjobnny,"@BluegrassRec @klev19 @247Sports @LateKickJosh And please don’t debate that we don’t have the best fanbase. We traveled to Notre Dame, home of one of the historically strongest fanbases of all time and the stands were bleeding RED AND BLACK. It’ll be the same way when we play Clemson in the opening game."
2021-01-02 18:17:32+00:00,Divotz2,"@TheRealHoarse @BubbsMagee9 Among the four teams playing for the College Football Playoff National Championship, as three of the four teams — Notre Dame, Clemson and Alabama — have black GSRs above the Division I FBS average: respectively 87 percent, 82 percent and 79 percent. ND is consistently higher. 👍🏻"
2020-12-20 21:13:33+00:00,JRadskate412,"@TheMicDr @jgcrawfish I love my Notre dame just like I bleed black and gold. If we scored from the 5 it would of been 10-0 then who knows. Bottom line they aren’t there yet and I don’t want to see them get annihilated by bama just to say we made the cfp. It’s Clemson, bama, then everyone else"
2020-12-20 05:26:58+00:00,dennisb58,"@FA_ACC During the game Clemson and Notre Dame lined up on the field to show their Commitment to Equality. Yeah, the President of Notre Dame is a Donald Trump supporter and when asked Dabo Swinney refused to say BLACK LIVES MATTER. Yeah, he recruits Black Players. What a fool."
2020-12-19 22:22:53+00:00,Take_A_BigEnd,"Been watching Notre Dame football since the Brady Quinn era, they've always seem to have crazy talent But you look at the other teams that would eventually destroy them &amp; can't help but notice the BLACK representation in skill positions. 
#Clemson
#NotreDameFootball 
#Equality"
2020-12-19 21:17:12+00:00,TeamGladney,"If you Black and rooting for Clemson ( especially when they’re not playing Bama ) you have willingly revoked your rights to receive your powers on Monday.

And yes, I know we still hate Notre Dame for what they did to Ty Willingham.

But Dammit!!!"
2020-12-19 20:26:25+00:00,KKentucky99,"@dish how are you gonna remove cbs &amp; ABC on Championship football week?  So I can't watch Notre Dame vs Clemson or Alabama vs Florida! 

This is bullshit! I pay over 1000.00 a month so I can have access to ALL CHANNELS NO BLACK OUTS!"
2020-12-19 18:04:39+00:00,FandomCollectiv,BLACK AND WHITE SPORTS ❖ WOKE Media want Brian Kelly &amp; Dabo Swinney FIRED! Notre Dame vs Clemson CFP DRAMA ❖ https://t.co/SU0DKOoSuR ❖ @bwsportstwit https://t.co/M6YEycmoWM
2020-12-17 15:55:24+00:00,dmarknewman,Notre Dame beating Clemson outright and Iowa State covering are my mortal locks to get me out of the hole into the black in the last week of college football. https://t.co/jACRB6i7cp
2020-12-16 01:08:31+00:00,cory_gq,@Black_Dynamite @Charlie_Potter It doesn’t matter the number 1 seed gets to pick the venue. Most likely Clemson will win and Bama will play Notre Dame in the sugar bowl.
2020-12-13 14:14:14+00:00,BuckGuy52,"@FrankTheTankATL @shimmy2522 @CJ1two Oh... Clemson can be beaten (see LSU, Notre Dame....) .   It’s those pesky extra players in the black and white striped shirts that cause the real concern."
2020-11-27 15:32:04+00:00,wingsbeersbets,"Some Black Friday CFB:

Iowa -13.5 (1.5 units)
Notre Dame -5 (2 units)
Central Michigan -7 (1 unit)

3-team 10-point teaser:
Iowa St-Texas over 46.5
Buffalo +2.5
Clemson-Pitt over 45.5
(3 units)

Good luck to everyone who tails or fades!"
2020-11-12 15:01:38+00:00,TheDamefan,@joelklatt Quick reminder...Notre Dame played Clemson without 3 of their starting WRs...And no hair gel or energy drinks with Black Market Steroids and 99% grad rate... Not 55%.. Just info! GO IRISH!
2020-11-11 22:07:00+00:00,AdonicaSS,"@jvnorelli @Thejazzchick @mistergeezy @NotreDameSWD @NDAlumni So if it's Clemson that's ok behavior? Again. No masks. Plenty of black athletes at Clemson to offend. I only take back the Notre Dame part.
I stand by my criticism."
2020-11-10 00:01:27+00:00,HillariousFunny,"@black_mixed We may be letting our guards down too soon for sure, this is not a petri dish slide of a COVID cell; it's an actual photo of the Notre Dame fans congregating on the field in celebration after they defeated Clemson... https://t.co/9PvF1rKGXu"
2020-11-08 18:16:58+00:00,BlueHeelerKY,"I need someone to sync video of Notre Dame fans storming the field after beating Clemson last night, to audio of the Hindenburg disaster, oh and make it black &amp; white...

(I can't get OBS to work right)"
2020-11-08 14:54:10+00:00,ndcar,Notre Dame 47 #1 Clemson 40. I think I’ll just leave this flying today. Usually the #Steelers flag goes up on Sundays. What do u think fellow Domer - @ChaseClaypool ?? Go ☘️! Go Black n Yellow! https://t.co/D1IHdSaxb7
2020-11-08 06:54:32+00:00,BlackAmericans,Black Americans No. 4 Notre Dame hands No. 1 Clemson first regular-season loss since October 2017 in 2OT https://t.co/n7IsWYz63T
2020-11-08 05:19:16+00:00,Jordandelmont2,@black_knights92 Bama osu notredame Clemson
2020-11-08 05:09:02+00:00,bigAllen77,"BREAKING NEW:  @brayvol2007 has left the ranks of UT fans and will Cheer for the Army Black Knights for the remainder of this season. Big loss for UT, expect @Gawbage29 to make a push for him to join the Notre Dame  fans after their defeat of a T Law less Clemson team #fluke https://t.co/ISvIlSYCi9"
2020-11-08 04:55:09+00:00,heyyitsjennaee,@black_bailey98 @KingJames @ClemsonFB @NotreDame @NDFootball LAWSUIT!!!! Lol
2020-11-08 04:23:00+00:00,jwcairo,"""Black Eye"" for college football to have sub-par officiating  in the game between Clemson &amp; Notre Dame"
2020-11-08 01:38:19+00:00,DanTheVan31,@NBCNews get this black bitch off the tv and put notre dame Clemson back on
2020-11-08 01:24:35+00:00,thatsal49868227,"run motherfucker run! clemson is the fucking worst but the ONLY time i cheered for notre dame was when they had a Black coach.
Made some serious money."
2020-11-08 00:45:36+00:00,Timothy_f,"Sitting down after a productive day, now watching Notre Dame vs. Clemson Football sipping some Jameson Black Barrel. @jamesonwhiskey https://t.co/Yo6UoaF8Oc"
2020-11-08 00:07:02+00:00,gabs_livingston,"Me and my grandpa are still laughing they literally said “Notre Dame is black &amp; white, Clemson is tik tok”"
2020-11-02 18:41:33+00:00,asapdrewbie,"notre dame rolling clemson by 28 this saturday, without Trevor Lawrence that team is probably finishing 3rd in the OK black"
2020-11-02 00:34:14+00:00,SaturdayGameday,"Week 9 ACC Thoughts:

Notre Dame handled business against Georgia Tech.  Kyle Hamilton continues to flash at the safety spot.  That Irish defense is legit and they're ready to challenge Clemson.

Georgia Tech looked great in their black jerseys, however, their play did not."
2020-10-08 14:52:19+00:00,TWDTV1,"@BrandonRob702 @26theCB @MrFUBAR442 @ChuckModi1 @ByKimberleyA And better than A LOT OF COACHES LIST GUY.....No school is really a Great QB FACTORY guy. 

No one said, ""When is the Last Great NFL QB from Duke, or Stanford, or Texas, or Clemson (before Watson) or Michigan or Notre Dame or LSU?"" 

So that Ohio State line on Black QB is LOL."
2020-09-12 20:20:03+00:00,CFPResumeRanks,@p_w_black Say Clemson and Notre Dame split with ND winning ACC in a close game. Bama and UGA split in close games. UT and OU split but loser of CC game has multiple losses. You taking a weak big 12 winner over Clemson &amp; strong SEC team? Maybe but not a guarantee.
